measured_on,ac_current__758,ac_power_1__767,ac_power__752,ac_volts__757,das_battery_voltage__769,dc_neg_voltage__755,dc_pos_current__754,dc_pos_voltage__753,dc_power_1__765,dc_power_2__766,dc_power__751,inverter_temp_2__770,module_temp_2__761,poa_irradiance__750,system_id
2018-10-12 03:25:00,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,50
2018-10-12 03:26:00,0.0,,,0.0,,,0.0,0.0,0.0,,,,,1207.0,50
2018-10-12 03:27:00,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,50
2018-10-12 03:28:00,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,50
2018-10-12 03:29:00,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,50
2018-10-12 03:30:00,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,50
2018-10-12 03:31:00,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,50
2018-10-12 03:32:00,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,50
2018-10-12 03:33:00,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,50
2018-10-12 03:34:00,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,50
2018-10-12 03:35:00,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,50
2018-10-12 03:36:00,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,50
2018-10-12 03:37:00,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,50
2018-10-12 03:38:00,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,50
2018-10-12 03:39:00,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,50
2018-10-12 03:40:00,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,50
2018-10-12 03:41:00,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,50
2018-10-12 03:42:00,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,50
2018-10-12 03:43:00,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,50
2018-10-12 03:44:00,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,50
2018-10-12 03:45:00,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,50
2018-10-12 03:46:00,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,50
2018-10-12 03:47:00,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,50
2018-10-12 03:48:00,0.0,,,0.0,,,0.0,0.0,0.0,,,,,,50
2018-10-12 03:49:00,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,50
